guid,verb,verb_hiragana,verb_romaji,verb_1,verb_1_hiragana,verb_1_romaji,verb_2,verb_2_hiragana,verb_2_romaji,transitivity,pattern,meaning,meaning_en,meaning_ko,nlb_link,structure
i*@F=))Dt5,仰ぎ見る,あおぎみる,aogimiru,仰ぐ,あおぐ,aogu,見る,みる,miru,他,(1)N1ガ|N2ヲ; (2)N1ガ|N2ヲ|N3ト,"<ol style=""""><li><p>顔を上に向けて高いところを見る。</p><ul><li><p>私は空を仰ぎ見た。 (Watashi wa sora o aogimita.)</p></li></ul></li><li><p>人を尊敬の対象と見る。</p><ul><li><p>私は彼を師匠と仰ぎ見ている。 (Watashi wa kare o shishō to aogimiteiru.)</p></li></ul></li></ol>","<ol style=""""><li><p>To lift up one's face and look up.</p><ul><li><p>I looked up at the sky.</p></li></ul></li><li><p>To respect.</p><ul><li><p>I look up to him as my master.</p></li></ul></li></ol>","<ol style=""""><li><p>얼굴을 위로 향하여 높은 곳을 보다.</p><ul><li><p>나는 하늘을 올려다보았다.</p></li></ul></li><li><p>사람을 존경의 대상으로 보다.</p><ul><li><p>나는 그를 스승으로 우러러 보고 있다.</p></li></ul></li></ol>",V.05546,VV
mXXgLk[=Tz,煽り立てる,あおりたてる,aoritateru,煽る,あおる,aoru,立てる,たてる,tateru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>むやみに煽る。</p><ul><li><p>急進派の発言は、国民の不安を煽り立てた。 (Kyūshinha no hatsugen wa, kokumin no fuan o aoritateta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To fret unnecessarily.</p><ul><li><p>The remarks by the reformist faction alarmed the public.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>마구 부추기다.</p><ul><li><p>급진파의 발언은 국민의 불안을 야기했다.</p></li></ul></li></ol>",V.06474,Vs
iGA#eE`stK,上がり込む,あがりこむ,agarikomu,上がる,あがる,agaru,込む,こむ,komu,自（意志）,N1ガ|N2ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>他人の家などに上がって我が物顔でいる。</p><ul><li><p>男が無遠慮に家に上がり込んだ。 (Otoko ga buenryo ni ie ni agarikonda.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To enter other people's homes as if one owns them.</p><ul><li><p>The man did not hesitate to intrude into the house.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>타인의 집 등에 들어가 제 집인 양 행세하다.</p><ul><li><p>그 남자가 거리낌없이 집에 들어왔다.</p></li></ul></li></ol>",V.05547,Vs
H0}LZ)*[F^,呆れ入る,あきれいる,akireiru,呆れる,あきれる,akireru,入る,いる,iru,自,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>すっかり呆れる。呆れ返る。</p><ul><li><p>裁判官は彼の嘘に呆れ入った。 (Saibankan wa kare no uso ni akireitta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To be quite exasperated. Flabbergasted.</p><ul><li><p>The judge was exasperated with his lies.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>완전히 질리다. 기가 막히다.</p><ul><li><p>판사는 남자의 거짓말에 기막혀 했다.</p></li></ul></li></ol>",,Vs
Fj8CCF*wc3,呆れ返る,あきれかえる,akirekaeru,呆れる,あきれる,akireru,返る,かえる,kaeru,自,N1ガ|N2ニ：N1ガ|N2ト,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>すっかり呆れる。</p><ul><li><p>私は彼女のわがままな態度に呆れ返った。 (Watashi wa kanojo no wagamama na taido ni akirekaetta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To be quite exasperated.</p><ul><li><p>I was flabbergasted by her selfish attitude.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>완전히 질리다.</p><ul><li><p>나는 그 여자의 제멋대로인 태도에 완전히 질렸다.</p></li></ul></li></ol>",V.06168,Vs
dx);^f?5F~,呆れ果てる,あきれはてる,akirehateru,呆れる,あきれる,akireru,果てる,はてる,hateru,自,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>完全に呆れてしまう。</p><ul><li><p>父親は息子の態度に呆れ果てた。 (Chichioya wa musuko no taido ni akirehateta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To be completely exasperated.</p><ul><li><p>The father was completely exasperated with his son's attitude.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>완전히 질려버리다.</p><ul><li><p>아버지는 아들의 태도에 질려버렸다.</p></li></ul></li></ol>",V.09417,Vs
e6^^I1]eC&,開け放す,あけはなす,akehanasu,開ける,あける,akeru,放す,はなす,hanasu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>完全に開ける。開けたままにしておく。</p><ul><li><p>私は窓を開け放した。 (Watashi wa mado o akehanashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To open completely. To leave open.</p><ul><li><p>I opened the windows wide.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>완전히 열다. 개방한 채로 열어놓다.</p><ul><li><p>나는 창문을 열어젖혔다.</p></li></ul></li></ol>",V.05523,Vs
j/i9)Q003/,明け払う,あけはらう,akeharau,明ける,あける,akeru,払う,はらう,harau,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>家や部屋を明けて処分する。</p><ul><li><p>彼女はすでに部屋を明け払っていた。 (Kanojo wa sudeni heya o akeharatte ita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To vacate a house or flat and settle accounts.</p><ul><li><p>She had already vacated the flat.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>집이나 방을 비워 처분하다.</p><ul><li><p>그녀는 이미 방을 비워 처분해 놓았었다.</p></li></ul></li></ol>",V.17798,VV
x%fvzB)k]U,開け広げる,あけひろげる,akehirogeru,開ける,あける,akeru,広げる,ひろげる,hirogeru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>窓やドアを大きく開ける。</p><ul><li><p>彼はドアを開け広げて、荷物を部屋の中に運んだ。 (Kare wa doa o akehirogete, nimotsu o heya no naka ni hakonda.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To open wide windows or doors.</p><ul><li><p>He opened the door wide, and moved his things into the room.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>창문이나 문을 활짝 열다.</p><ul><li><p>남자는 문을 활짝 열고, 짐을 방으로 옮겼다.</p></li></ul></li></ol>",V.14608,Vs
dCuEL=XU{A,明け行く,あけゆく,akeyuku,明ける,あける,akeru,行く,ゆく,yuku,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>次第に夜が明けていく。</p><ul><li><p>夜が明け行く。 (Yoru ga akeyuku.)</p></li><li><p>明け行く空を見上げた。 (Ake iku sora o miageta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>The night gradually turning to morning.</p><ul><li><p>The night is ebbing away.</p></li><li><p>I looked up at the sky as morning dawned.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>점차 날이 밝아오다.</p><ul><li><p>날이 밝아오다.</p></li><li><p>밝아오는 하늘을 올려다보았다.</p></li></ul></li></ol>",,Vs
